Class,Precision,Recall,F1-Score,Support
49,0.9541284403669725,0.985781990521327,0.9696969696969697,633.0
47,0.9653179190751445,0.9653179190751445,0.9653179190751445,346.0
73,0.9800796812749004,0.9571984435797666,0.968503937007874,257.0
75,0.9306930693069307,0.9494949494949495,0.94,99.0
60,0.9620253164556962,0.95,0.9559748427672956,80.0
70,0.9625,0.9746835443037974,0.9685534591194969,79.0
20,0.9523809523809523,0.967741935483871,0.96,62.0
16,0.9655172413793104,0.9491525423728814,0.9572649572649573,59.0
4,0.9107142857142857,0.9444444444444444,0.9272727272727272,54.0
37,0.975,0.975,0.975,40.0
